id,name,X,Y,area,subcatchment,river,catchment,country,strahler,pfafstetter,rl1.5,rl2,rl5,rl10,rl20,rl50,rl100,rl200,rl500,n_events_obs,TP,FN,FP,recall,precision,f1
2768,La Meuse à Chooz [Trou du Diable],3952500.0,3017500.0,10500.0,Meuse,Meuse,Rhine,FR,,2731,617.8,718.2,965.5,1129.3,1286.3,1489.6,1642.0,1793.7,1994.0,1,1,0,0,1.0,1.0,1.0
2929,laufermuehle,4387500.0,2957500.0,875.0,Main,Aisch,Rhine,DE,,8821,57.3,70.7,103.6,125.4,146.3,173.3,193.6,213.8,240.4,1,0,1,0,0.0,,0.0
2931,L Ill a Strasbourg [Chasseur Froid La Robertsau],4152500.0,2832500.0,4600.0,Ill,Ill,Rhine,FR,,11411,204.1,225.9,279.6,315.1,349.2,393.3,426.4,459.3,502.7,0,0,0,2,,0.0,0.0
2933,La Seille a Metz [pont Lothaire],4042500.0,2892500.0,1250.0,Moselle,Seille,Rhine,FR,,4541,60.6,75.1,110.7,134.3,157.0,186.3,208.2,230.1,259.0,0,0,0,1,,0.0,0.0
2938,L Orne a Rosselange,4037500.0,2912500.0,1225.0,Moselle,Orne,Rhine,FR,,4521,99.8,119.9,169.3,202.1,233.4,274.1,304.5,334.9,374.9,2,1,1,0,0.5,1.0,0.6666666666666666
2944,La Semoy a Haulme,3952500.0,2987500.0,1350.0,Meuse,Semoy,Rhine,FR,,2761,153.3,182.1,252.8,299.6,344.5,402.6,446.1,489.5,546.8,2,2,0,0,1.0,1.0,1.0
2945,La Chiers a Carignan,3977500.0,2957500.0,1975.0,Meuse,Chiers,Rhine,FR,,2781,119.2,140.3,192.2,226.5,259.5,302.1,334.1,366.0,408.0,1,1,0,0,1.0,1.0,1.0
2946,La Moder a Schweighouse-sur-Moder [aval],4162500.0,2852500.0,750.0,Moder,Moder,Rhine,FR,,11211,32.4,43.2,69.9,87.5,104.4,126.3,142.7,159.0,180.6,1,0,1,1,0.0,0.0,0.0
2947,La Meuse a Vaucouleurs [Chalaines],4002500.0,2837500.0,1700.0,Meuse,Meuse,Rhine,FR,,2791,160.4,187.1,252.7,296.2,337.9,391.9,432.3,472.6,525.8,0,0,0,0,,,
2956,La Moselle a Tonnoy,4037500.0,2837500.0,2050.0,Moselle,Moselle,Rhine,FR,,4571,400.4,459.5,604.9,701.2,793.5,913.0,1002.6,1091.8,1209.5,0,0,0,1,,0.0,0.0
2964,GERBERTSHAUS,4282500.0,2722500.0,850.0,Rhine,Schussen,Rhine,DE,,15211,76.2,98.5,153.3,189.6,224.4,269.5,303.2,336.9,381.3,0,0,0,0,,,
